,Date,Net Sales,Orders,Guests
527,2024-06-11,148.91,5,5
528,2024-06-12,709.65,10,10
529,2024-06-13,200.88,7,7
530,2024-06-14,1341.58,38,38
531,2024-06-15,780.5,21,21
532,2024-06-16,1239.16,34,34
533,2024-06-17,0.0,0,0
534,2024-06-18,394.77,10,10
535,2024-06-19,546.34,10,10
536,2024-06-20,643.56,21,21
537,2024-06-21,1187.69,33,33
538,2024-06-22,788.87,28,28
539,2024-06-23,769.5,23,23
540,2024-06-24,0.0,0,0
541,2024-06-25,533.67,15,15
542,2024-06-26,494.2,12,12
543,2024-06-27,303.3,11,11
544,2024-06-28,878.62,27,27
545,2024-06-29,822.41,27,27
546,2024-06-30,1203.03,19,19
547,2024-07-01,0.0,0,0
548,2024-07-02,255.86,8,8
549,2024-07-03,657.58,20,20
550,2024-07-04,0.0,0,0
551,2024-07-05,1193.76,36,36
552,2024-07-06,842.55,22,22
553,2024-07-07,771.51,19,19
554,2024-07-08,0.0,0,0
555,2024-07-09,457.68,13,13
556,2024-07-10,330.27,12,12
557,2024-07-11,880.29,24,24
558,2024-07-12,981.88,30,30
559,2024-07-13,1155.56,37,37
560,2024-07-14,954.95,29,29
561,2024-07-15,0.0,0,0
562,2024-07-16,472.25,16,16
563,2024-07-17,533.25,17,17
564,2024-07-18,721.54,20,20
565,2024-07-19,883.98,26,26
566,2024-07-20,947.9,29,29
567,2024-07-21,989.9,32,32
568,2024-07-22,0.0,0,0
569,2024-07-23,467.71,14,14
570,2024-07-24,456.19,15,15
571,2024-07-25,516.17,16,16
572,2024-07-26,1057.94,23,23
573,2024-07-27,1451.99,37,37
574,2024-07-28,1055.36,29,29
575,2024-07-29,0.0,0,0
576,2024-07-30,376.78,14,14
577,2024-07-31,376.27,10,10
578,2024-08-01,774.08,15,15
579,2024-08-02,490.13,14,14
580,2024-08-03,837.41,29,29
581,2024-08-04,505.68,17,17
582,2024-08-05,0.0,0,0
583,2024-08-06,918.92,16,16
584,2024-08-07,176.37,5,5
585,2024-08-08,439.67,17,17
586,2024-08-09,1058.48,31,31
587,2024-08-10,807.52,28,28
588,2024-08-11,591.6,18,18
589,2024-08-12,9.99,1,1
590,2024-08-13,267.88,6,6
591,2024-08-14,330.27,8,8
592,2024-08-15,606.56,16,16
593,2024-08-16,928.82,35,35
594,2024-08-17,1530.56,35,35
595,2024-08-18,910.81,25,25
596,2024-08-19,0.0,0,0
597,2024-08-20,558.18,18,18
598,2024-08-21,228.71,9,9
599,2024-08-22,265.83,8,8
600,2024-08-23,825.86,30,30
601,2024-08-24,1059.75,12,12
602,2024-08-25,595.19,20,20
603,2024-08-26,0.0,0,0
604,2024-08-27,320.78,13,13
605,2024-08-28,377.3,14,14
606,2024-08-29,352.3,11,11
607,2024-08-30,1420.1,37,37
608,2024-08-31,1492.1,35,35
609,2024-09-01,1236.51,31,31
610,2024-09-02,0.0,0,0
611,2024-09-03,673.12,11,11
612,2024-09-04,251.37,8,8
613,2024-09-05,333.3,8,8
614,2024-09-06,1015.95,28,28
615,2024-09-07,1150.59,39,39
616,2024-09-08,535.1,21,21
617,2024-09-09,0.0,0,0
618,2024-09-10,173.92,6,6
619,2024-09-11,349.75,13,13
620,2024-09-12,250.79,8,8
621,2024-09-13,1048.41,37,37
622,2024-09-14,701.15,22,22
623,2024-09-15,1015.87,25,25
624,2024-09-16,0.0,0,0
625,2024-09-17,164.93,7,7
626,2024-09-18,306.84,11,11
627,2024-09-19,206.4,7,7
628,2024-09-20,1185.0,25,25
629,2024-09-21,1463.38,39,39
630,2024-09-22,671.53,22,22
631,2024-09-23,0.0,0,0
632,2024-09-24,283.27,10,10
633,2024-09-25,199.89,7,7
634,2024-09-26,498.75,16,16
635,2024-09-27,1360.19,52,52
